Teste;;
 and Arabic;;
 and French;;
 and French;;
 and French;;
 and Hindi. FYI, India has 18 regional languages. So if there could be an option, professionals other than doctors will prefer it ih their own langauge.;;
 and PRIMARY LANGUAGE of Community in which training is to be delivered to clients.;;
 and Spanish;;
 and Spanish;;
 but also Aboriginal languages in remote communities where  may third or fourth language;;
 is OK;;
 language;;
 mainly but others need to be available;;
, Arabic, Chinese, Korean, Vietnamese;;
, Bengali;;
, Cantonese, Mandarin, Vietnamese, Arabic, Hindi;;
, CHINESE, ARABIC, ITALIAN;;
, French;;109
, Greek, Italian, French, Japanese;;0,703225806
, Hindi and other regional languages;;
, Hindi, Tamil;;
, Malay;;
, Malay;;
, Maori;;
, Maori, Pasifika, Asian;;
, Spanish;;
, Spanish;;
, Spanish;;
, Spanish;;
, Spanish, Ilocano, Tagalog;;
, spanish, vietnamese,;;
, Te Reo Maori;;
, Vietnamese, Somalian, Greek, Italian;;
Šü_¾Ğà;;
Šü_¾Ğà;;
Šü_¾Ğà;;
Œ¡»_ Œ¨¢Œ¨¦»_ Œ_ÙŠ_¾¡Ô»_;;
arabic;;
arabic;;
Arabic;;
Arabic;;
Arabic and ;;
Arabic, ;;
Chinese;;
chinese;;
chinese;;
Chinese;;
chinese;;
Chinese;;
chinese;;
chinese and ;;
Chinese, ;;
Chinese/ Cantones;;
czech;;
Danish, Arabic, Turkish, Somali;;
Dutch and french;;
En mi paÌÂs: Ingles y espaÌ±ol;;
ESPAÌÔOL;;
EspaÌ±ol;;
EspaÌ±ol;;
EspaÌ±ol;;
EspaÌ±ol;;
EspaÌ±ol;;
espaÌ±ol  e ingles;;
EspaÌ±ol, inglÌ©s;;
EspaÌ±ol, Quichua e Ingles;;
EspaÌ±ol.;;
French;;
French;;
French;;
Georgian;;
German;;
german french intalian;;
German, Turkish;;
greek;;
greek arabic chinese;;
hebreo ,, russien, etiopein, arabe;;
Hebrew;;
HEBREW;;
hebrew, arabic;;
Hebrew, Arabic;;
Hebrew, Arabic, Russian;;
In the US training is primarily provided in . There is a need for other languages such as Spanish and Portuguese;;
local;;
local - Czech;;
LOCAL LANGUAGE (HEBREW), OTHERS AS NEEDED;;
Malay and ;;
Mostly  in my area of the United States.  Spanish as a secondary.;;
Mostly , possibly Spanish;;
NA;;
NA;;
NA;;
NA;;
NA;;
NA;;
NA;;
NA;;
NA;;
NA;;
NA;;
portuguÌ»s,inglÌ»s;;
Portuguese;;
Portuguese;;
Portuguese only;;
portuguese, ;;
Spanish;;
spanish;;
Spanish;;
Spanish;;
spanish;;
spanish;;
Spanish;;
Spanish;;
spanish;;
Spanish;;
Spanish, Haitian Creole, Portuguese;;
spanish,catalan and ;;
Swedish and arabic;;
traditional chinese;;
turkish;;
Vietnamese;;